rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;dw;df;dw;dw;df;dw;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;dw;df;df;df;df;dw;ff;ff;ff;ff;ff;ff;ff;ff;rw
rw;ff;ff;ff;ff;ff;ff;ff;ff;dw;df;df;df;df;dw;ff;ff;ff;ff;ff;ff;ff;ff;rw
dw;dw;dw;dw;dw;dw;dw;dw;dw;dw;tw;mapTp(transparentWall,Mines1,mirror);mapTp(transparentWall,Mines1,mirror);tw;dw;dw;dw;dw;dw;dw;dw;dw;dw;dw
